product_id,customer_id,customer_age,sales_date,quantity,price
Product A,CUST 68,72.0,2026-01-05,74.0,8133.0
Product B,CUST 69,56.0,2026-01-06,80.0,6413.0
Product C,CUST 70,55.0,2026-01-07,63.0,9971.0
Product D,CUST 1,54.0,2026-01-08,48.0,4194.0
Product E,CUST 2,88.0,2026-01-09,58.0,5732.0
Product F,CUST 3,36.0,2026-01-10,26.0,3801.0
Product G,CUST 4,60.0,2026-01-11,102.0,1737.0
Product H,CUST 5,63.0,2026-01-12,43.0,9902.0
Product I,CUST 6,78.0,2026-01-13,89.0,8756.0
Product J,CUST 7,23.0,2026-01-14,124.0,1023.0
Product K,CUST 8,55.0,2026-01-15,200.0,9710.0
Product L,CUST 9,22.0,2026-01-16,82.0,7617.0
Product M,CUST 10,74.0,2026-01-17,45.0,5732.0
Product N,CUST 11,42.0,2026-01-05,175.0,3536.0
Product O,CUST 12,71.0,2026-01-19,31.0,1936.0
Product P,CUST 13,26.0,2026-01-20,75.0,8018.0
Product Q,CUST 14,32.0,2026-01-21,176.0,6173.0
Product R,CUST 15,66.0,2026-01-22,200.0,3469.0
Product S,CUST 16,56.0,2026-01-23,38.0,1339.0
Product T,CUST 17,52.0,2026-01-24,118.0,9306.0
Product U,CUST 18,53.0,2026-01-25,121.0,2705.0
Product V,CUST 19,68.0,2026-01-26,157.0,1792.0
Product W,CUST 20,35.0,2026-01-27,142.0,9614.0
Product X,CUST 21,81.0,2026-01-28,60.0,4213.0
Product Y,CUST 22,20.0,2026-01-29,200.0,8208.0
Product Z,CUST 23,42.0,2026-01-30,164.0,6007.0
