product_id,customer_id,customer_age,sales_date,quantity,price
Product A,CUST 68,84,2026-01-05,133,4408
Product B,CUST 69,81,2026-01-06,56,9769
Product C,CUST 70,44,2026-01-07,54,4745
Product D,CUST 1,44,2026-01-08,88,795
Product E,CUST 2,29,2026-01-09,44,1455
Product F,CUST 3,44,2026-01-10,171,4289
Product G,CUST 4,81,2026-01-11,155,5764
Product H,CUST 5,25,2026-01-12,133,6203
Product I,CUST 6,59,2026-01-13,54,2744
Product J,CUST 7,26,2026-01-14,103,3925
Product K,CUST 8,24,2026-01-15,88,662
Product L,CUST 9,80,2026-01-16,40,2054
Product M,CUST 10,89,2026-01-17,54,3501
Product N,CUST 11,22,2026-01-18,155,5885
Product O,CUST 12,26,2026-01-19,189,9265
Product P,CUST 13,90,2026-01-20,41,9301
Product Q,CUST 14,43,2026-01-21,90,5499
Product R,CUST 15,79,2026-01-22,193,2272
Product S,CUST 16,45,2026-01-23,96,4745
Product T,CUST 17,44,2026-01-24,170,1925
Product U,CUST 18,31,2026-01-25,154,7349
Product V,CUST 19,40,2026-01-26,54,6860
Product W,CUST 20,24,2026-01-27,94,4060
Product X,CUST 21,74,2026-01-28,39,5477
Product Y,CUST 22,32,2026-01-29,135,5677
Product Z,CUST 23,51,2026-01-30,115,4745
