product_id,customer_id,sales_date,quantity,price
Product A,CUST 68,2026-01-05,137,4266
Product B,CUST 69,2026-01-06,60,2217
Product C,CUST 70,2026-01-07,51,1191
Product D,CUST 1,2026-01-08,16,5609
Product E,CUST 2,2026-01-09,154,5994
Product F,CUST 3,2026-01-10,186,4340
Product G,CUST 4,2026-01-11,36,5478
Product H,CUST 5,2026-01-12,62,2447
Product I,CUST 6,2026-01-13,200,2831
Product J,CUST 7,2026-01-14,148,7361
Product K,CUST 8,2026-01-15,121,2174
Product L,CUST 9,2026-01-16,23,2968
Product M,CUST 10,2026-01-17,99,5613
Product N,CUST 11,2026-01-18,85,3399
Product O,CUST 12,2026-01-19,114,3921
Product P,CUST 13,2026-01-20,119,2883
Product Q,CUST 14,2026-01-21,81,8329
Product R,CUST 15,2026-01-22,56,8479
Product S,CUST 16,2026-01-23,135,9663
Product T,CUST 17,2026-01-24,68,2737
Product U,CUST 18,2026-01-25,183,3170
Product V,CUST 19,2026-01-26,120,3323
Product W,CUST 20,2026-01-27,90,6734
Product X,CUST 21,2026-01-28,149,889
Product Y,CUST 22,2026-01-29,148,5209
Product Z,CUST 23,2026-01-30,164,7599
