,product_id,customer_id,customer_age,sales_date,quantity,price
0,Product A,CUST 68,53,2026-01-05,152,608
1,Product B,CUST 69,68,2026-01-06,75,7974
2,Product C,CUST 70,48,2026-01-07,72,5918
3,Product D,CUST 1,69,2026-01-08,79,7449
4,Product E,CUST 2,43,2026-01-09,66,6590
5,Product F,CUST 3,35,2026-01-10,143,5922
6,Product G,CUST 4,63,2026-01-11,146,4914
7,Product H,CUST 5,88,2026-01-12,83,9034
8,Product I,CUST 6,86,2026-01-13,36,4743
9,Product J,CUST 7,21,2026-01-14,99,6606
10,Product K,CUST 8,26,2026-01-15,118,9043
11,Product L,CUST 9,21,2026-01-16,137,696
12,Product M,CUST 10,50,2026-01-17,67,770
13,Product N,CUST 11,26,2026-01-18,24,4310
14,Product O,CUST 12,84,2026-01-19,35,6329
15,Product P,CUST 13,29,2026-01-20,182,6408
16,Product Q,CUST 14,73,2026-01-21,113,1306
17,Product R,CUST 15,33,2026-01-22,74,997
18,Product S,CUST 16,46,2026-01-23,195,8318
19,Product T,CUST 17,19,2026-01-24,94,7939
20,Product U,CUST 18,55,2026-01-25,26,8364
21,Product V,CUST 19,29,2026-01-26,12,2905
22,Product W,CUST 20,24,2026-01-27,193,4323
23,Product X,CUST 21,87,2026-01-28,108,1217
24,Product Y,CUST 22,45,2026-01-29,103,2200
25,Product Z,CUST 23,67,2026-01-30,139,2501
