product_id,customer_id,customer_age,sales_date,quantity,price
Product A,CUST 68,84,05-01-2026,133,4408
Product B,CUST 69,81,06-01-2026,56,9769
Product C,CUST 70,,07-01-2026,54,
Product D,CUST 1,,08-01-2026,88,795
Product E,CUST 2,29,09-01-2026,44,1455
Product F,CUST 3,44,10-01-2026,171,4289
Product G,CUST 4,81,11-01-2026,155,5764
Product H,CUST 5,25,12-01-2026,133,6203
Product I,CUST 6,59,13-01-2026,54,2744
Product J,CUST 7,26,14-01-2026,103,3925
Product K,CUST 8,24,15-01-2026,88,662
Product L,CUST 9,80,16-01-2026,40,2054
Product M,CUST 10,89,17-01-2026,,3501
Product N,CUST 11,22,18-01-2026,155,5885
Product O,CUST 12,26,19-01-2026,189,9265
Product P,CUST 13,90,20-01-2026,41,9301
Product Q,CUST 14,43,21-01-2026,90,5499
Product R,CUST 15,79,22-01-2026,193,2272
Product S,CUST 16,45,23-01-2026,96,
Product T,CUST 17,,24-01-2026,170,1925
Product U,CUST 18,31,25-01-2026,154,7349
Product V,CUST 19,40,26-01-2026,,6860
Product W,CUST 20,24,27-01-2026,94,4060
Product X,CUST 21,74,28-01-2026,39,5477
Product Y,CUST 22,32,29-01-2026,135,5677
Product Z,CUST 23,51,30-01-2026,115,
